Location,Date,Existing_Capacity,Current_Utilization
Seattle,2022-01-01,2309,1661
Seattle,2022-01-02,2309,1663
Seattle,2022-01-03,2309,1661
Seattle,2022-01-04,2309,1680
Seattle,2022-01-05,2309,1680
Seattle,2022-01-06,2309,1687
Seattle,2022-01-07,2309,1681
Seattle,2022-01-08,2309,1682
Seattle,2022-01-09,2309,1696
Seattle,2022-01-10,2309,1694
Seattle,2022-01-11,2309,1698
Seattle,2022-01-12,2309,1706
Seattle,2022-01-13,2309,1718
Seattle,2022-01-14,2309,1720
Seattle,2022-01-15,2309,1739
Seattle,2022-01-16,2309,1758
Seattle,2022-01-17,2309,1764
Seattle,2022-01-18,2309,1763
Seattle,2022-01-19,2309,1789
Seattle,2022-01-20,2309,1786
Seattle,2022-01-21,2309,1792
Seattle,2022-01-22,2309,1799
Seattle,2022-01-23,2309,1814
Seattle,2022-01-24,2309,1833
Seattle,2022-01-25,2309,1853
Seattle,2022-01-26,2309,1864
Seattle,2022-01-27,2309,1890
Seattle,2022-01-28,2309,1890
Seattle,2022-01-29,2309,1897
Seattle,2022-01-30,2309,1921
Seattle,2022-01-31,2309,1934
Seattle,2022-02-01,2309,1950
Seattle,2022-02-02,2309,1946
Seattle,2022-02-03,2309,1966
Seattle,2022-02-04,2309,1963
Seattle,2022-02-05,2309,1984
Seattle,2022-02-06,2309,1992
Seattle,2022-02-07,2309,2002
Seattle,2022-02-08,2309,2003
Seattle,2022-02-09,2309,2009
Seattle,2022-02-10,2309,2026
Seattle,2022-02-11,2309,2042
Seattle,2022-02-12,2309,2056
Seattle,2022-02-13,3292,2068
Seattle,2022-02-14,3292,2079
Seattle,2022-02-15,3292,2085
Seattle,2022-02-16,3292,2088
Seattle,2022-02-17,3292,2108
Seattle,2022-02-18,3292,2109
Seattle,2022-02-19,3292,2130
Seattle,2022-02-20,3292,2138
Seattle,2022-02-21,3292,2135
Seattle,2022-02-22,3292,2162
Seattle,2022-02-23,3292,2186
Seattle,2022-02-24,3292,2189
Seattle,2022-02-25,3292,2198
Seattle,2022-02-26,3292,2198
Seattle,2022-02-27,3292,2197
Seattle,2022-02-28,3292,2218
Seattle,2022-03-01,3292,2231
Seattle,2022-03-02,3292,2252
Seattle,2022-03-03,3292,2263
Seattle,2022-03-04,3292,2271
Seattle,2022-03-05,3292,2273
Seattle,2022-03-06,3292,2286
Seattle,2022-03-07,3292,2282
Seattle,2022-03-08,3292,2303
Seattle,2022-03-09,3292,2302
Seattle,2022-03-10,3292,2324
Seattle,2022-03-11,3292,2337
Seattle,2022-03-12,3292,2346
Seattle,2022-03-13,3292,2362
Seattle,2022-03-14,3292,2374
Seattle,2022-03-15,3292,2385
Seattle,2022-03-16,3292,2400
Seattle,2022-03-17,3292,2419
Seattle,2022-03-18,3292,2439
Seattle,2022-03-19,3292,2459
Seattle,2022-03-20,3292,2458
Seattle,2022-03-21,3292,2466
Seattle,2022-03-22,3292,2474
Seattle,2022-03-23,3292,2500
Seattle,2022-03-24,3292,2511
Seattle,2022-03-25,3292,2521
Seattle,2022-03-26,3292,2544
Seattle,2022-03-27,3292,2568
Seattle,2022-03-28,3292,2582
Seattle,2022-03-29,3292,2582
Seattle,2022-03-30,3292,2601
Seattle,2022-03-31,3292,2616
Seattle,2022-04-01,3292,2639
Seattle,2022-04-02,3292,2654
Seattle,2022-04-03,3292,2663
Seattle,2022-04-04,3292,2662
Seattle,2022-04-05,3292,2686
Seattle,2022-04-06,3292,2687
Seattle,2022-04-07,3292,2692
Seattle,2022-04-08,3292,2716
Seattle,2022-04-09,3292,2715
Seattle,2022-04-10,3292,2735
Seattle,2022-04-11,3292,2757
Seattle,2022-04-12,3292,2776
Seattle,2022-04-13,3292,2777
Seattle,2022-04-14,3292,2805
Seattle,2022-04-15,3292,2806
Seattle,2022-04-16,3292,2820
Seattle,2022-04-17,3292,2828
Seattle,2022-04-18,3292,2855
Seattle,2022-04-19,3292,2874
Seattle,2022-04-20,3292,2892
Seattle,2022-04-21,3292,2900
Seattle,2022-04-22,3292,2912
Seattle,2022-04-23,3292,2920
Seattle,2022-04-24,3292,2922
Seattle,2022-04-25,3292,2920
Seattle,2022-04-26,3292,2918
Seattle,2022-04-27,3292,2930
Seattle,2022-04-28,3292,2943
Seattle,2022-04-29,3292,2937
Seattle,2022-04-30,3292,2953
Seattle,2022-05-01,3292,2954
Seattle,2022-05-02,3292,2976
Seattle,2022-05-03,3292,2999
Seattle,2022-05-04,3292,2999
Seattle,2022-05-05,3292,3002
Seattle,2022-05-06,3292,3020
Seattle,2022-05-07,3292,3024
Seattle,2022-05-08,3292,3026
Seattle,2022-05-09,3292,3041
Seattle,2022-05-10,4400,3045
Seattle,2022-05-11,4400,3045
Seattle,2022-05-12,4400,3045
Seattle,2022-05-13,4400,3053
Seattle,2022-05-14,4400,3063
Seattle,2022-05-15,4400,3084
Seattle,2022-05-16,4400,3099
Seattle,2022-05-17,4400,3097
Seattle,2022-05-18,4400,3116
Seattle,2022-05-19,4400,3135
Seattle,2022-05-20,4400,3137
Seattle,2022-05-21,4400,3141
Seattle,2022-05-22,4400,3150
Seattle,2022-05-23,4400,3158
Seattle,2022-05-24,4400,3163
Seattle,2022-05-25,4400,3164
Seattle,2022-05-26,4400,3176
Seattle,2022-05-27,4400,3173
Seattle,2022-05-28,4400,3191
Seattle,2022-05-29,4400,3211
Seattle,2022-05-30,4400,3208
Seattle,2022-05-31,4400,3210
Seattle,2022-06-01,4400,3224
Seattle,2022-06-02,4400,3229
Seattle,2022-06-03,4400,3253
Seattle,2022-06-04,4400,3257
Seattle,2022-06-05,4400,3256
Seattle,2022-06-06,4400,3263
Seattle,2022-06-07,4400,3271
Seattle,2022-06-08,4400,3294
Seattle,2022-06-09,4400,3319
Seattle,2022-06-10,4400,3341
Seattle,2022-06-11,4400,3353
Seattle,2022-06-12,4400,3357
Seattle,2022-06-13,4400,3359
Seattle,2022-06-14,4400,3378
Seattle,2022-06-15,4400,3391
Seattle,2022-06-16,4400,3412
Seattle,2022-06-17,4400,3409
Seattle,2022-06-18,4400,3426
Seattle,2022-06-19,4400,3442
Seattle,2022-06-20,4400,3443
Seattle,2022-06-21,4400,3473
Seattle,2022-06-22,4400,3472
Seattle,2022-06-23,4400,3474
Seattle,2022-06-24,4400,3477
Seattle,2022-06-25,4400,3501
Seattle,2022-06-26,4400,3509
Seattle,2022-06-27,4400,3539
Seattle,2022-06-28,4400,3546
Seattle,2022-06-29,4400,3561
Seattle,2022-06-30,4400,3576
Seattle,2022-07-01,4400,3590
Seattle,2022-07-02,4400,3608
Seattle,2022-07-03,4400,3622
Seattle,2022-07-04,4400,3649
